Part_ID,Part_Name,Category,Brand,Competitor_Brand,Price,Cost,Competitor_Price,Units_Sold,Region,Date,Currency,Revenue,Profit,Gross_Margin_%,Competitiveness_Index,Price_diff,Price_pct_diff,Margin,Revenue_calc
2000,Oil Filter,Engine,Kia,Toyota,262.32,167.72,268.94,269,EU,2024-01-31,GBP,70564.08,25447.4,36.06282403171699,102.5236352546508,-6.6200000000000045,-2.4615155796832022,94.6,70564.08
2000,Oil Filter,Engine,Toyota,Kia,236.07,165.48,232.14,416,UK,2024-01-31,GBP,98205.12,29365.44,29.90214766806456,98.33523954759181,3.930000000000007,1.6929439131558575,70.59,98205.12
2000,Oil Filter,Engine,Hyundai,Nissan,233.65,166.75,247.0,462,EU,2024-01-31,GBP,107946.3,30907.8,28.63257008345816,105.7136742991654,-13.349999999999994,-5.40485829959514,66.9,107946.3
2000,Oil Filter,Engine,Nissan,Hyundai,240.46,168.18,249.5,499,EU,2024-01-31,GBP,119989.54,36067.72,30.05905348082841,103.75946103302,-9.039999999999992,-3.623246492985969,72.28,119989.54000000001
2000,Oil Filter,Engine,Kia,Toyota,266.31,170.12,264.76,304,UK,2024-04-30,GBP,80958.24,29241.76,36.11955991138147,99.41797153693064,1.5500000000000114,0.5854358664450866,96.19,80958.24
2000,Oil Filter,Engine,Toyota,Kia,237.65,169.05,253.95,326,EU,2024-04-30,GBP,77473.90000000001,22363.6,28.8659793814433,106.8588260046286,-16.299999999999983,-6.418586335892885,68.6,77473.90000000001
2000,Oil Filter,Engine,Hyundai,Nissan,237.59,169.56,232.26,256,UK,2024-04-30,GBP,60823.04,17415.68,28.63335998989857,97.75663958920829,5.3300000000000125,2.294841987427888,68.03,60823.04
2000,Oil Filter,Engine,Nissan,Hyundai,227.71,162.94,210.33,343,UK,2024-04-30,GBP,78104.53,22216.11,28.44407360238901,92.367484958939,17.379999999999995,8.263205439071932,64.77000000000001,78104.53
2000,Oil Filter,Engine,Kia,Toyota,231.06,173.2,212.15,190,EU,2024-07-31,GBP,43901.4,10993.4,25.04111486194063,91.81597853371419,18.909999999999997,8.913504595804852,57.860000000000014,43901.4
2000,Oil Filter,Engine,Toyota,Kia,262.39,168.44,287.77,317,EU,2024-07-31,GBP,83177.62999999999,29782.15,35.80548039178322,109.6726247189298,-25.379999999999995,-8.81954338534246,93.94999999999999,83177.62999999999
2000,Oil Filter,Engine,Hyundai,Nissan,226.59,167.8,244.95,314,UK,2024-07-31,GBP,71149.26,18460.06,25.94554040337173,108.1027406328611,-18.359999999999985,-7.4954072259644775,58.78999999999999,71149.26
2000,Oil Filter,Engine,Nissan,Hyundai,232.33,163.13,237.93,177,EU,2024-07-31,GBP,41122.41,12248.4,29.78521930013344,102.4103645676409,-5.599999999999994,-2.3536334215945844,69.20000000000002,41122.41
2000,Oil Filter,Engine,Kia,Toyota,224.56,172.97,233.18,461,UK,2024-10-31,GBP,103522.16,23782.99,22.97381546134663,103.8386177413609,-8.620000000000005,-3.696714984132432,51.59,103522.16
2000,Oil Filter,Engine,Toyota,Kia,245.8,172.17,227.31,259,UK,2024-10-31,GBP,63662.2,19070.17000000001,29.9552481692433,92.47762408462165,18.49000000000001,8.13426598037922,73.63000000000002,63662.200000000004
2000,Oil Filter,Engine,Hyundai,Nissan,262.83,167.43,269.61,448,EU,2024-10-31,GBP,117747.84,42739.19999999999,36.29722634402464,102.5796141992923,-6.78000000000003,-2.5147435184155,95.39999999999998,117747.84
2000,Oil Filter,Engine,Nissan,Hyundai,260.98,165.54,244.94,416,UK,2024-10-31,GBP,108567.68,39703.04000000001,36.56985209594606,93.85393516744578,16.04000000000002,6.54854250020414,95.44000000000003,108567.68000000001
2000,Oil Filter,Engine,Kia,Toyota,254.02,166.87,262.08,101,UK,2025-01-31,GBP,25656.02,8802.150000000001,34.30832217935595,103.1729785056295,-8.059999999999974,-3.0753968253968154,87.15,25656.02
2000,Oil Filter,Engine,Toyota,Kia,252.7,175.37,235.83,180,EU,2025-01-31,GBP,45486.0,13919.4,30.60150375939849,93.32409972299169,16.869999999999976,7.153457999406341,77.32999999999998,45486.0
2000,Oil Filter,Engine,Hyundai,Nissan,271.44,160.77,291.81,483,UK,2025-01-31,GBP,131105.52,53453.60999999999,40.77144120247569,107.5044208664898,-20.370000000000005,-6.980569548678936,110.66999999999999,131105.52
2000,Oil Filter,Engine,Nissan,Hyundai,236.68,163.57,248.44,192,EU,2025-01-31,GBP,45442.56,14037.12,30.88980902484367,104.9687341558222,-11.759999999999991,-4.733537272580901,73.11000000000001,45442.56
2000,Oil Filter,Engine,Kia,Toyota,260.93,161.57,286.34,365,EU,2025-04-30,GBP,95239.45,36266.4,38.07917832368835,109.7382439734795,-25.409999999999968,-8.874065795906953,99.36000000000001,95239.45
2000,Oil Filter,Engine,Toyota,Kia,239.06,172.53,242.84,223,UK,2025-04-30,GBP,53310.38,14836.19,27.82983351459885,101.5811930059399,-3.780000000000001,-1.5565804645033772,66.53,53310.38
2000,Oil Filter,Engine,Hyundai,Nissan,252.22,172.51,237.64,494,UK,2025-04-30,GBP,124596.68,39376.74000000001,31.60336214415986,94.2193323289192,14.580000000000013,6.135330752398592,79.71000000000001,124596.68
2000,Oil Filter,Engine,Nissan,Hyundai,230.34,165.4,242.39,147,EU,2025-04-30,GBP,33859.98,9546.18,28.19310584353564,105.2313970652079,-12.049999999999983,-4.971327199966988,64.94,33859.98
2000,Oil Filter,Engine,Kia,Toyota,239.45,173.07,235.82,276,UK,2025-07-31,GBP,66088.2,18320.88,27.72186260179578,98.4840258926707,3.6299999999999955,1.5393096429480093,66.38,66088.2
2000,Oil Filter,Engine,Toyota,Kia,234.19,168.86,235.24,354,EU,2025-07-31,GBP,82903.26,23126.82,27.89615269652845,100.4483539006789,-1.0500000000000114,-0.4463526611120606,65.32999999999998,82903.26
2000,Oil Filter,Engine,Hyundai,Nissan,266.73,165.57,250.48,76,UK,2025-07-31,GBP,20271.48,7688.160000000002,37.92599257676302,93.90769692198103,16.25000000000003,6.487543915681902,101.16000000000003,20271.480000000003
2000,Oil Filter,Engine,Nissan,Hyundai,265.85,175.19,254.13,210,UK,2025-07-31,GBP,55828.50000000001,19038.60000000001,34.10193718262178,95.59149896558209,11.720000000000027,4.6118128516900905,90.66000000000003,55828.50000000001
2000,Oil Filter,Engine,Kia,Toyota,271.44,171.72,269.49,446,EU,2025-10-31,GBP,121062.24,44475.12,36.73740053050398,99.2816091954023,1.9499999999999886,0.7235890014471738,99.72,121062.24
2000,Oil Filter,Engine,Toyota,Kia,261.76,162.48,263.91,258,UK,2025-10-31,GBP,67534.08,25614.24,37.92787286063569,100.8213630806846,-2.150000000000034,-0.8146716683718063,99.28,67534.08
2000,Oil Filter,Engine,Hyundai,Nissan,263.33,173.64,285.57,158,UK,2025-10-31,GBP,41606.14,14171.02,34.0599248091748,108.445676527551,-22.24000000000001,-7.787932906117592,89.69,41606.14
2000,Oil Filter,Engine,Nissan,Hyundai,259.57,163.52,249.16,227,EU,2025-10-31,GBP,58922.39,21803.34999999999,37.00350579805062,95.98952113110144,10.409999999999997,4.178038208380156,96.04999999999998,58922.39
2001,Air Filter,Engine,Kia,Toyota,215.87,134.05,224.34,248,UK,2024-01-31,GBP,53535.76,20291.36,37.90244128410617,103.9236577569834,-8.469999999999999,-3.7755193010608887,81.82,53535.76
2001,Air Filter,Engine,Toyota,Kia,185.6,134.05,198.31,130,EU,2024-01-31,GBP,24128.0,6701.499999999998,27.77478448275861,106.8480603448276,-12.710000000000008,-6.4091573798598205,51.54999999999998,24128.0
